car,ford,don,shifter,drive
station,launch,shuttle,option,redesign
clutch,manual,shift,small,problem
george,howell,great,temp,idea
mission,hst,solar,net,pat
oil,service,lights,come,change
insurance,edu,geico,oort,writes
edu,gif,uci,ics,incoming
space,bill,science,internet,spacecraft
car,speed,good,mph,lot
engine,price,cars,toyota,power
space,sky,nasa,gov,light
edu,writes,article,apr,don
make,don,people,money,want
henry,edu,toronto,spencer,zoo
writes,article,edu,apr,etc
system,time,high,find,another
large,earth,temperature,planets,blah
edu,cost,point,mustang,want
information,place,state,astronomy,info
